,,,,Working-age population (thousands),,,,
Reference area,Source,,Time,15+,15-64,15-24,25+,
Australia,LFS - Labour Force Survey,Total,2021M02,20840,16569,3108,17732,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Male,2021M02,10237.5,8238.9,1598,8639.5,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Female,2021M02,10602.5,8330.1,1510,9092.5,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Total,2021M03,20845.5,16564.2,3102.8,17742.6,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Male,2021M03,10240.7,8237.2,1595.6,8645.1,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Female,2021M03,10604.8,8327,1507.2,9097.6,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Total,2021M04,20854.9,16563.2,3098.3,17756.6,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Male,2021M04,10245.8,8237.4,1593.3,8652.5,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Female,2021M04,10609.1,8325.8,1504.9,9104.2,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Total,2021M05,20864.4,16562.1,3093.7,17770.6,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Male,2021M05,10251,8237.6,1591.1,8659.9,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Female,2021M05,10613.4,8324.5,1502.7,9110.7,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
Australia,LFS - Labour Force Survey,Total,2021M06,20873.8,16561,3089.2,17784.6,"Notes

Working-age population (thousands) 
-Frequency: Monthly"
