,,,,,Working-age population (thousands),,,,
Reference area,Source,Sex,Education,Time,Total,Employed,Unemployed,Outside the labour force,
Albania,LFS - Labour Force Survey,Total,Total,2019Q4,2368.5,1273.2,159.8,935.5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Albania,LFS - Labour Force Survey,Total,Less than basic,2019Q4,50.1,5.2,2.3,42.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Albania,LFS - Labour Force Survey,Total,Basic,2019Q4,149.4,31.5,2.7,115.3,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Albania,LFS - Labour Force Survey,Total,Intermediate,2019Q4,977,529.7,51,396.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Albania,LFS - Labour Force Survey,Total,Advanced,2019Q4,887.7,486.1,79.4,322.3,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Albania,LFS - Labour Force Survey,Total,Level not stated,2019Q4,304.3,220.7,24.4,59.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Albania,LFS - Labour Force Survey,Male,Total,2019Q4,1165.7,703.3,89.3,373.1,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Albania,LFS - Labour Force Survey,Male,Less than basic,2019Q4,19.2,2.6,1.8,14.8,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Albania,LFS - Labour Force Survey,Male,Basic,2019Q4,60.4,17.1,,42.8,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Albania,LFS - Labour Force Survey,Male,Intermediate,2019Q4,457.6,277.1,30.6,149.9,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Albania,LFS - Labour Force Survey,Male,Advanced,2019Q4,491.8,307.6,49.4,134.8,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Albania,LFS - Labour Force Survey,Male,Level not stated,2019Q4,136.7,99,7,30.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Albania,LFS - Labour Force Survey,Female,Total,2019Q4,1202.8,569.9,70.5,562.5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Albania,LFS - Labour Force Survey,Female,Less than basic,2019Q4,30.9,2.6,,27.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Albania,LFS - Labour Force Survey,Female,Basic,2019Q4,89.1,14.4,2.2,72.5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Albania,LFS - Labour Force Survey,Female,Intermediate,2019Q4,519.4,252.6,20.4,246.3,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Albania,LFS - Labour Force Survey,Female,Advanced,2019Q4,395.9,178.6,29.9,187.4,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Albania,LFS - Labour Force Survey,Female,Level not stated,2019Q4,167.5,121.7,17.3,28.5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Frequency: Quarterly"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Total,2019Q4,22360.3,12236.8,1195.6,8928,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Frequency: Quarterly: average based on 3 monthly data points"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Less than basic,2019Q4,1170.4,390,44.2,736.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Frequency: Quarterly: average based on 3 monthly data points"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Basic,2019Q4,8380.9,3565.5,470.7,4344.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Frequency: Quarterly: average based on 3 monthly data points"
Argentina,"LFS - Encuesta Permanente de Hogares, Urbano",Total,Intermediate,2019Q4,8723.2,5206.8,572.1,2944.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Frequency: Quarterly: average based on 3 monthly data points"
