,,,,,Working-age population (thousands),,,,,,,
Reference area,Source,Sex,Area type,Time,Total,Single,Married,Union / Cohabiting,Widowed,Divorced or legally separated,Not elsewhere classified,
Afghanistan,HIES - Households Living Conditions Survey,Total,National,2014,14702.6,3799.5,9641.6,,617.3,19.4,624.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Afghanistan,HIES - Households Living Conditions Survey,Total,Rural,2014,10829.2,2486.4,7383.8,,446.4,14,498.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Afghanistan,HIES - Households Living Conditions Survey,Total,Urban,2014,3873.3,1313.1,2257.8,,170.9,5.5,126,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Afghanistan,HIES - Households Living Conditions Survey,Male,National,2014,7435.8,2272.4,4727.1,,93.8,4.6,337.9,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Afghanistan,HIES - Households Living Conditions Survey,Male,Rural,2014,5499.8,1532.8,3616,,75.5,3.6,272,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Afghanistan,HIES - Households Living Conditions Survey,Male,Urban,2014,1935.9,739.6,1111.1,,18.3,,66,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Afghanistan,HIES - Households Living Conditions Survey,Female,National,2014,7266.8,1527.1,4914.5,,523.6,14.9,286.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Afghanistan,HIES - Households Living Conditions Survey,Female,Rural,2014,5329.4,953.7,3767.8,,370.9,10.3,226.7,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Afghanistan,HIES - Households Living Conditions Survey,Female,Urban,2014,1937.4,573.5,1146.7,,152.6,4.5,60.1,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Afghanistan,HIES - Households Living Conditions Survey,Total,National,2017,15224.5,3881.8,9954.2,687.6,683.8,17.1,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Afghanistan,HIES - Households Living Conditions Survey,Total,Rural,2017,11274.1,2575.2,7659.4,533.2,496,10.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Afghanistan,HIES - Households Living Conditions Survey,Total,Urban,2017,3950.5,1306.6,2294.8,154.4,187.8,6.9,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Afghanistan,HIES - Households Living Conditions Survey,Male,National,2017,7652.6,2294.1,4875.2,364.6,114.5,4.1,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Afghanistan,HIES - Households Living Conditions Survey,Male,Rural,2017,5691.1,1566,3745.6,286.9,90.3,2.3,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Afghanistan,HIES - Households Living Conditions Survey,Male,Urban,2017,1961.4,728.2,1129.5,77.7,24.2,1.8,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Afghanistan,HIES - Households Living Conditions Survey,Female,National,2017,7572,1587.7,5079,323,569.3,13,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Afghanistan,HIES - Households Living Conditions Survey,Female,Rural,2017,5582.9,1009.2,3913.7,246.3,405.7,8,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Afghanistan,HIES - Households Living Conditions Survey,Female,Urban,2017,1989,578.4,1165.2,76.7,163.6,5,,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing"
Afghanistan,LFS - Labour Force Survey,Total,National,2020,16558,98.2,4292.1,689.6,719.6,4231.5,6527,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Afghanistan,LFS - Labour Force Survey,Total,Rural,2020,11470.7,67.9,3048.6,506.4,528.9,3000.5,4318.3,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Afghanistan,LFS - Labour Force Survey,Total,Urban,2020,4416.8,25.9,1048.9,151.3,156.2,1039.9,1994.6,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Afghanistan,LFS - Labour Force Survey,Total,Not elsewhere classified,2020,670.5,4.4,194.7,31.8,34.4,191.1,214.1,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Afghanistan,LFS - Labour Force Survey,Male,National,2020,8249.4,50.2,1.3,638,69.3,4168.6,3322,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Afghanistan,LFS - Labour Force Survey,Male,Rural,2020,5710.7,34.1,,471.8,49.6,2956.7,2198.3,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Afghanistan,LFS - Labour Force Survey,Male,Urban,2020,2196.8,15,,135.1,17.1,1023,1005.5,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Afghanistan,LFS - Labour Force Survey,Male,Not elsewhere classified,2020,341.8,,,31.1,2.6,188.9,118.2,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
Afghanistan,LFS - Labour Force Survey,Female,National,2020,8308.6,48,4290.8,51.6,650.3,62.9,3205,"Notes

Working-age population (thousands) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
